checkpoint,boundary_action,action_index,joint,delta_from_cached_h50_rad,abs_delta_rad
step_000050,5,9,8,-0.24010992050170898,0.24010992050170898
step_000050,5,9,9,0.06812775135040283,0.06812775135040283
step_000050,5,9,10,0.16610169410705566,0.16610169410705566
step_000050,5,9,11,0.023981750011444092,0.023981750011444092
step_000050,5,10,0,0.09387129545211792,0.09387129545211792
step_000050,5,10,1,-0.03166353702545166,0.03166353702545166
step_000050,5,10,2,0.017682313919067383,0.017682313919067383
step_000050,5,10,3,-0.003879070281982422,0.003879070281982422
step_000050,5,10,4,-0.10993117094039917,0.10993117094039917
step_000050,5,10,5,0.005754828453063965,0.005754828453063965
step_000050,5,10,6,0.06858992576599121,0.06858992576599121
step_000050,5,10,7,0.059375643730163574,0.059375643730163574
step_000050,5,10,8,-0.20633673667907715,0.20633673667907715
step_000050,5,10,9,0.09061729907989502,0.09061729907989502
step_000050,5,10,10,0.13524937629699707,0.13524937629699707
step_000050,5,10,11,0.006480783224105835,0.006480783224105835
step_000050,10,1,0,0.007705003023147583,0.007705003023147583
step_000050,10,1,1,-0.006543397903442383,0.006543397903442383
step_000050,10,1,2,0.005528688430786133,0.005528688430786133
step_000050,10,1,3,0.03181159496307373,0.03181159496307373
step_000050,10,1,4,-0.07107561826705933,0.07107561826705933
step_000050,10,1,5,0.003953367471694946,0.003953367471694946
step_000050,10,1,6,0.03650718927383423,0.03650718927383423
step_000050,10,1,7,0.03808021545410156,0.03808021545410156
step_000050,10,1,8,-0.17061913013458252,0.17061913013458252
step_000050,10,1,9,0.02877187728881836,0.02877187728881836
step_000050,10,1,10,-0.045812785625457764,0.045812785625457764
step_000050,10,1,11,0.011384472250938416,0.011384472250938416
step_000050,10,2,0,-0.04065874218940735,0.04065874218940735
step_000050,10,2,1,-0.0012514591217041016,0.0012514591217041016
step_000050,10,2,2,0.012522697448730469,0.012522697448730469
step_000050,10,2,3,0.009698867797851562,0.009698867797851562
step_000050,10,2,4,-0.04335853457450867,0.04335853457450867
step_000050,10,2,5,0.00822766125202179,0.00822766125202179
step_000050,10,2,6,0.01681247353553772,0.01681247353553772
step_000050,10,2,7,0.029627203941345215,0.029627203941345215
step_000050,10,2,8,-0.09863615036010742,0.09863615036010742
step_000050,10,2,9,-0.002383708953857422,0.002383708953857422
step_000050,10,2,10,-0.020533502101898193,0.020533502101898193
step_000050,10,2,11,-0.0007425248622894287,0.0007425248622894287
step_000050,10,3,0,-0.04546487331390381,0.04546487331390381
step_000050,10,3,1,-0.012634515762329102,0.012634515762329102
step_000050,10,3,2,-0.017007827758789062,0.017007827758789062
step_000050,10,3,3,0.01733076572418213,0.01733076572418213
step_000050,10,3,4,-0.1478905975818634,0.1478905975818634
step_000050,10,3,5,0.005218997597694397,0.005218997597694397
step_000050,10,3,6,-0.006581425666809082,0.006581425666809082
step_000050,10,3,7,-0.09349417686462402,0.09349417686462402
step_000050,10,3,8,-0.11556363105773926,0.11556363105773926
step_000050,10,3,9,0.08664059638977051,0.08664059638977051
step_000050,10,3,10,0.03967604041099548,0.03967604041099548
step_000050,10,3,11,-0.002676725387573242,0.002676725387573242
